"region","country","country_code","age_group","age_lower","age_upper","pop_date","pop_male","pop_female","pop_both"
"Europe","Spain","ESP","'10-19",10,19,2020-01-01,2549184,2385870,4935054
"Europe","Spain","ESP","'20-29",20,29,2020-01-01,2491255,2405908,4897163
"Europe","Spain","ESP","'30-39",30,39,2020-01-01,3042525,3060797,6103322
"Europe","Spain","ESP","'40-49",40,49,2020-01-01,3948974,3884644,7833618
"Europe","Spain","ESP","'50-59",50,59,2020-01-01,3487399,3547803,7035202
"Europe","Spain","ESP","'60-69",60,69,2020-01-01,2576886,2773720,5350606
"Europe","Spain","ESP","'70-79",70,79,2020-01-01,1810587,2173918,3984505
"Europe","Spain","ESP","'80+",80,NA,2020-01-01,1056207,1794845,2851052
"Europe","Spain","ESP","'Total",NA,NA,2020-01-01,23199315,24133302,47332617
"Europe","Spain","ESP","'0-9",0,9,2021-01-01,2172614,2048172,4220786
"Europe","Spain","ESP","'10-19",10,19,2021-01-01,2570053,2406788,4976841
"Europe","Spain","ESP","'20-29",20,29,2021-01-01,2512276,2412326,4924602
"Europe","Spain","ESP","'30-39",30,39,2021-01-01,2962618,2979403,5942021
"Europe","Spain","ESP","'40-49",40,49,2021-01-01,3931995,3884812,7816807
"Europe","Spain","ESP","'50-59",50,59,2021-01-01,3536214,3593500,7129714
"Europe","Spain","ESP","'60-69",60,69,2021-01-01,2652275,2855387,5507662
"Europe","Spain","ESP","'70-79",70,79,2021-01-01,1816359,2180471,3996830
"Europe","Spain","ESP","'80+",80,NA,2021-01-01,1072879,1810556,2883435
"Europe","Spain","ESP","'Total",NA,NA,2021-01-01,23227283,24171415,47398698
"Europe","Spain","ESP","'0-9",0,9,2022-01-01,2109964,1988702,4098666
"Europe","Spain","ESP","'10-19",10,19,2022-01-01,2592480,2425045,5017525
"Europe","Spain","ESP","'20-29",20,29,2022-01-01,2527706,2415700,4943406
"Europe","Spain","ESP","'30-39",30,39,2022-01-01,2886572,2899364,5785936
"Europe","Spain","ESP","'40-49",40,49,2022-01-01,3881335,3855728,7737063
"Europe","Spain","ESP","'50-59",50,59,2022-01-01,3587178,3641729,7228907
"Europe","Spain","ESP","'60-69",60,69,2022-01-01,2719983,2929314,5649297
"Europe","Spain","ESP","'70-79",70,79,2022-01-01,1857221,2231237,4088458
"Europe","Spain","ESP","'80+",80,NA,2022-01-01,1074561,1808988,2883549
"Europe","Spain","ESP","'Total",NA,NA,2022-01-01,23237000,24195807,47432807
"Europe","Sweden","SWE","'0-9",0,9,2019-12-31,630552,595250,1225802
"Europe","Sweden","SWE","'10-19",10,19,2019-12-31,609424,568504,1177928
"Europe","Sweden","SWE","'20-29",20,29,2019-12-31,690609,636786,1327395
"Europe","Sweden","SWE","'30-39",30,39,2019-12-31,701076,665413,1366489
"Europe","Sweden","SWE","'40-49",40,49,2019-12-31,660150,638205,1298355
"Europe","Sweden","SWE","'50-59",50,59,2019-12-31,657515,640348,1297863
